,year,vuelos_totales
1970,73,57192900.0
1971,58,57492000.0
1972,77,48265300.0
1973,64,59114800.0
1974,58,64818500.0
1975,51,65489300.0
1976,57,68056000.0
1977,63,69969700.0
1978,51,71855500.0
1979,60,75525600.0
1980,45,76463500.0
1981,50,74023100.0
1982,54,75034200.0
1983,48,78430300.0
1984,48,83083900.0
1985,56,86163700.0
1986,51,90925100.0
1987,54,95016700.0
1988,64,99240000.0
1989,82,100167600.0
1990,61,104027400.0
1991,69,102678100.0
1992,65,110519800.0
1993,56,122294200.0
1994,74,130656400.0
1995,60,135843400.0
1996,68,142697000.0
1997,56,147880000.0
1998,59,148861300.0
1999,62,156376200.006836
2000,63,164128538.0
2001,58,167789495.0
2002,55,157413426.0
2003,62,160242603.0
2004,46,178801875.0
2005,45,183455221.0
2006,38,190035821.0
2007,43,200714410.0
2008,51,198155561.0
2009,46,203710520.0
2010,40,239598771.84102088
2011,36,249546273.23857105
2012,26,254041216.75431418
2013,25,262114913.74168143
2014,23,271503494.809754
2015,18,281621424.0
2016,23,293562879.0
2017,15,303214231.798
2018,19,315097216.94327354
2019,13,321029779.5881554
2020,8,170015097.22460002
2021,7,201445505.88299996
